Rec #,Date/Time,Temperature(degC),Pressure(psi)
629,12/03/2019 21:49,1.38,-0.002
630,12/03/2019 22:04,1.38,-0.002
631,12/03/2019 22:19,1.38,-0.002
632,12/03/2019 22:34,1.38,-0.002
633,12/03/2019 22:49,1.38,-0.002
634,12/03/2019 23:04,1.38,-0.003
635,12/03/2019 23:19,1.38,-0.003
636,12/03/2019 23:34,1.38,-0.003
637,12/03/2019 23:49,1.38,-0.003
638,13/03/2019 0:04,1.38,-0.003
639,13/03/2019 0:19,1.38,-0.003
640,13/03/2019 0:34,1.38,-0.004
641,13/03/2019 0:49,1.31,-0.004
642,13/03/2019 1:04,1.38,-0.004
643,13/03/2019 1:19,1.31,-0.004
644,13/03/2019 1:34,1.31,-0.005
645,13/03/2019 1:49,1.31,-0.005
646,13/03/2019 2:04,1.31,-0.004
647,13/03/2019 2:19,1.31,-0.004
648,13/03/2019 2:34,1.31,-0.004
649,13/03/2019 2:49,1.31,-0.004
650,13/03/2019 3:04,1.31,-0.004
651,13/03/2019 3:19,1.31,-0.004
652,13/03/2019 3:34,1.31,-0.004
653,13/03/2019 3:49,1.31,-0.004
654,13/03/2019 4:04,1.31,-0.003
655,13/03/2019 4:19,1.31,-0.003
656,13/03/2019 4:34,1.31,-0.003
657,13/03/2019 4:49,1.31,-0.002
658,13/03/2019 5:04,1.31,-0.002
659,13/03/2019 5:19,1.31,-0.002
660,13/03/2019 5:34,1.31,-0.001
